#genename	D. discoideum gene name	
#ddb_g	D. discoideum dictybase gene ID	
#jgi_id	D. purpureum JGI gene ID	
#		
genename	ddb_g	jgi_id
DDB_G0283823	DDB_G0283823	92203
Ddaco	DDB_G0277497	92205
rab14	DDB_G0281337	92215
DDB_G0267866	DDB_G0267866	92218
DDB_G0267718	DDB_G0267718	92220
omt10	DDB_G0290719	92230
DDB_G0284115	DDB_G0284115	92234
DDB_G0292754	DDB_G0292754	91212
DDB_G0293862	DDB_G0293862	91214
DDB_G0293922	DDB_G0293922	91219
DDB_G0274865	DDB_G0274865	92240
DDB_G0274539	DDB_G0274539	92241
fimA	DDB_G0277855	92251
ybl1	DDB_G0272222	92261
DDB_G0272404	DDB_G0272404	92262
DDB_G0282683	DDB_G0282683	92264
DDB_G0285093	DDB_G0285093	92265
29C	DDB_G0291255	92268
spg1	DDB_G0291269	92269
pppB	DDB_G0275619	92296
DDB_G0275457	DDB_G0275457	92298
gpaG	DDB_G0276455	92301
prfA	DDB_G0283175	92304
DDB_G0291720	DDB_G0291720	92306
DDB_G0267842	DDB_G0267842	92307
alrA	DDB_G0293850	92315
DDB_G0282881	DDB_G0282881	91231
DDB_G0293640	DDB_G0293640	91234
cspB	DDB_G0292808	92323
sapA1	DDB_G0293010	92325
DDB_G0292882	DDB_G0292882	92344
DDB_G0284025	DDB_G0284025	92352
psiD	DDB_G0290925	92365
DDB_G0278537	DDB_G0278537	91241
DDB_G0293164	DDB_G0293164	91242
DDB_G0290923	DDB_G0290923	92369
epnA	DDB_G0291512	92379
DDB_G0291902	DDB_G0291902	92380
DDB_G0273779	DDB_G0273779	92381
DDB_G0270382	DDB_G0270382	92387
eIF1a	DDB_G0278205	91014
DDB_G0270922	DDB_G0270922	91023
DDB_G0272154	DDB_G0272154	91025
DDB_G0272420	DDB_G0272420	91029
DDB_G0274991	DDB_G0274991	92411
DDB_G0274205	DDB_G0274205	92412
pigL	DDB_G0293136	92416
DDB_G0293132	DDB_G0293132	92417
DDB_G0279525	DDB_G0279525	91261
DDB_G0268334	DDB_G0268334	91262
DDB_G0268232	DDB_G0268232	92452
gtf2a1	DDB_G0290327	92459
DDB_G0290329	DDB_G0290329	92460
DDB_G0291392	DDB_G0291392	92467
hpd	DDB_G0277511	91266
DDB_G0269410	DDB_G0269410	91270
DDB_G0285923	DDB_G0285923	91272
DDB_G0267746	DDB_G0267746	91280
DDB_G0275117	DDB_G0275117	92480
rbrA	DDB_G0286961	92487
rpl30	DDB_G0270380	92491
rps7	DDB_G0289025	92493
DDB_G0289831	DDB_G0289831	92502
gpaK	DDB_G0276343	92510
DDB_G0276215	DDB_G0276215	92511
phdA	DDB_G0285845	92514
rps10	DDB_G0286117	92515
DDB_G0285973	DDB_G0285973	91287
DDB_G0285767	DDB_G0285767	91291
DDB_G0286133	DDB_G0286133	91297
cprC	DDB_G0283867	92519
ptpB	DDB_G0277865	92527
DDB_G0284315	DDB_G0284315	92530
DDB_G0286313	DDB_G0286313	92537
DDB_G0273017	DDB_G0273017	92549
DDB_G0277615	DDB_G0277615	91304
paxB	DDB_G0274109	91310
DDB_G0269652	DDB_G0269652	92555
ctrB	DDB_G0279983	92558
DDB_G0288009	DDB_G0288009	92564
DDB_G0280595	DDB_G0280595	92578
rpe	DDB_G0278275	92583
magoh	DDB_G0270866	91311
ebp	DDB_G0269414	91317
abpC	DDB_G0269100	91322
smt1	DDB_G0288907	92595
sigI	DDB_G0275177	92611
tspB	DDB_G0269872	91330
DDB_G0270450	DDB_G0270450	91335
DDB_G0279425	DDB_G0279425	92621
DDB_G0289621	DDB_G0289621	92631
DDB_G0272540	DDB_G0272540	92641
DDB_G0291165	DDB_G0291165	91342
DDB_G0291145	DDB_G0291145	91346
DDB_G0293802	DDB_G0293802	92652
rpl23a	DDB_G0293502	92654
DDB_G0267838	DDB_G0267838	92657
DDB_G0289209	DDB_G0289209	92671
DDB_G0286423	DDB_G0286423	92677
svkA	DDB_G0286359	92678
drpp25	DDB_G0281409	92680
rpsA	DDB_G0270316	92693
cyb5r1	DDB_G0285399	91353
DDB_G0284871	DDB_G0284871	91363
cotD	DDB_G0283149	92698
rpl10	DDB_G0288273	92700
atp5D	DDB_G0269038	92704
DDB_G0288987	DDB_G0288987	92709
iptA	DDB_G0277215	92712
rasD	DDB_G0292996	91367
lap	DDB_G0279793	91370
tgrM2	DDB_G0288709	91373
DDB_G0270858	DDB_G0270858	92720
rasG	DDB_G0293434	92731
rpl10a	DDB_G0276871	92733
DDB_G0285259	DDB_G0285259	92739
pspB	DDB_G0276939	92740
aslJ-2	DDB_G0273691	92742
DDB_G0293410	DDB_G0293410	91377
ampA	DDB_G0275695	91378
DDB_G0269978	DDB_G0269978	91041
coq7	DDB_G0280475	92759
scdA	DDB_G0283375	92761
myoJ	DDB_G0272112	92763
DDB_G0274365	DDB_G0274365	92775
DDB_G0295689	DDB_G0295689	91384
DDB_G0286571	DDB_G0286571	92787
DDB_G0286569	DDB_G0286569	92788
DDB_G0280019	DDB_G0280019	92801
acmsd	DDB_G0286525	92803
DDB_G0284427	DDB_G0284427	92807
fam32	DDB_G0283963	91389
mybM	DDB_G0267636	92812
DDB_G0285587	DDB_G0285587	92831
DDB_G0274557	DDB_G0274557	91401
DDB_G0285805	DDB_G0285805	92846
D7	DDB_G0284613	92851
rdeA	DDB_G0282923	92856
DDB_G0275551	DDB_G0275551	92859
rps3	DDB_G0293000	92861
cdk5	DDB_G0288677	92862
DDB_G0288629	DDB_G0288629	92865
cnxA	DDB_G0271144	91409
psmC4	DDB_G0289003	92867
DDB_G0281811	DDB_G0281811	92876
rab2A	DDB_G0292268	92882
DDB_G0290633	DDB_G0290633	91418
phg1a	DDB_G0267444	92888
psmA4	DDB_G0280969	92891
psmD11	DDB_G0281315	92892
grxA	DDB_G0290015	92898
DDB_G0269750	DDB_G0269750	91431
CYP508C1	DDB_G0292792	92912
DDB_G0277699	DDB_G0277699	92918
DDB_G0267788	DDB_G0267788	92931
gxcGG	DDB_G0268354	92938
DDB_G0274353	DDB_G0274353	92939
bzpF	DDB_G0279529	92949
DDB_G0287521	DDB_G0287521	91440
DDB_G0276393	DDB_G0276393	92967
DDB_G0268826	DDB_G0268826	92970
DDB_G0269082	DDB_G0269082	92971
rpl28	DDB_G0282379	92975
pitD	DDB_G0292426	91445
DDB_G0278573	DDB_G0278573	91450
DDB_G0279455	DDB_G0279455	91451
DDB_G0272042	DDB_G0272042	91455
mlcE	DDB_G0277859	92983
rac1A	DDB_G0277869	92985
aatA	DDB_G0268664	92991
DDB_G0271700	DDB_G0271700	92995
DDB_G0271570	DDB_G0271570	92997
dcd3B	DDB_G0269574	91460
DDB_G0292824	DDB_G0292824	91044
DDB_G0281913	DDB_G0281913	91051
DDB_G0288379	DDB_G0288379	93002
calA	DDB_G0279407	93011
arl5	DDB_G0271942	93016
DDB_G0272146	DDB_G0272146	93019
DDB_G0272212	DDB_G0272212	93021
DDB_G0293236	DDB_G0293236	91465
nacB	DDB_G0281795	91466
allC	DDB_G0280267	91471
bzpJ	DDB_G0274993	93022
DDB_G0286589	DDB_G0286589	93024
gsr	DDB_G0272754	93030
DDB_G0278671	DDB_G0278671	91478
DDB_G0284521	DDB_G0284521	91480
DDB_G0290283	DDB_G0290283	93057
rpl21	DDB_G0279387	93065
DDB_G0272530	DDB_G0272530	93072
DDB_G0286363	DDB_G0286363	91496
arfA	DDB_G0289173	93077
DDB_G0288931	DDB_G0288931	93078
mybQ	DDB_G0289319	93079
mcfQ	DDB_G0272346	93080
pksB	DDB_G0282357	93085
gpaH	DDB_G0284469	91506
pho2A	DDB_G0290263	91511
ctdspl2	DDB_G0290365	91512
sybB	DDB_G0290363	91513
DDB_G0291812	DDB_G0291812	91520
ndkM	DDB_G0279911	93125
ancA	DDB_G0267454	93127
hbx5-2	DDB_G0273645	91524
ddo-2	DDB_G0273291	91530
DDB_G0293262	DDB_G0293262	91531
DDB_G0269702	DDB_G0269702	93131
DDB_G0293708	DDB_G0293708	93132
DDB_G0279035	DDB_G0279035	93134
DDB_G0276989	DDB_G0276989	93137
DDB_G0279241	DDB_G0279241	93138
DDB_G0272512	DDB_G0272512	93141
DDB_G0271374	DDB_G0271374	91533
DDB_G0288683	DDB_G0288683	93146
psiK	DDB_G0292014	91542
gpdA	DDB_G0275153	91547
DDB_G0275311	DDB_G0275311	91550
DDB_G0270284	DDB_G0270284	91073
DDB_G0284091	DDB_G0284091	91557
DDB_G0276291	DDB_G0276291	93168
fam18A	DDB_G0276319	93170
sahA	DDB_G0267418	93172
DDB_G0268222	DDB_G0268222	93173
DDB_G0292340	DDB_G0292340	93179
DDB_G0280549	DDB_G0280549	91572
DDB_G0280085	DDB_G0280085	91574
rsc43	DDB_G0285251	91578
DDB_G0274649	DDB_G0274649	93196
DDB_G0284823	DDB_G0284823	93201
DDB_G0270098	DDB_G0270098	91584
DDB_G0268892	DDB_G0268892	91586
jcdD	DDB_G0270906	91588
DDB_G0270606	DDB_G0270606	91589
DDB_G0288615	DDB_G0288615	93203
DDB_G0268286	DDB_G0268286	91590
gpbA	DDB_G0277143	93216
DDB_G0267526	DDB_G0267526	93219
DDB_G0284619	DDB_G0284619	93220
syn1A	DDB_G0289379	93226
DDB_G0276623	DDB_G0276623	91602
gpaB	DDB_G0276267	91607
hemF	DDB_G0288893	91609
tmem14A	DDB_G0288759	91611
DDB_G0286489	DDB_G0286489	91616
DDB_G0268884	DDB_G0268884	93234
H3b	DDB_G0270838	93238
rasX	DDB_G0270124	93239
ecmF	DDB_G0291291	93241
DDB_G0287837	DDB_G0287837	93244
DDB_G0284167	DDB_G0284167	93253
pten	DDB_G0286557	93257
DDB_G0283007	DDB_G0283007	91085
DDB_G0276881	DDB_G0276881	93260
DDB_G0287225	DDB_G0287225	93265
DDB_G0288153	DDB_G0288153	93266
DDB_G0278017	DDB_G0278017	91650
gpaD	DDB_G0285425	93271
DDB_G0282285	DDB_G0282285	93273
DDB_G0287135	DDB_G0287135	93274
rps18	DDB_G0276415	93275
aatB	DDB_G0282493	93284
DDB_G0275591	DDB_G0275591	91663
DDB_G0273923	DDB_G0273923	93287
DDB_G0280317	DDB_G0280317	93288
DDB_G0288201	DDB_G0288201	91670
rpl22a	DDB_G0290091	91674
DDB_G0279369	DDB_G0279369	91675
acly	DDB_G0278345	91676
ddx6	DDB_G0291804	93301
DDB_G0286141	DDB_G0286141	93302
DDB_G0289493	DDB_G0289493	93304
gnt4	DDB_G0268854	91685
limC	DDB_G0277881	91686
DDB_G0282483	DDB_G0282483	93311
DDB_G0281143	DDB_G0281143	91687
DDB_G0281219	DDB_G0281219	91689
DDB_G0293384	DDB_G0293384	93312
DDB_G0291568	DDB_G0291568	91696
tbpA	DDB_G0275617	93320
DDB_G0293814	DDB_G0293814	91698
DDB_G0293846	DDB_G0293846	91703
DDB_G0286083	DDB_G0286083	93327
DDB_G0291370	DDB_G0291370	91707
dimB	DDB_G0291372	91709
veg111	DDB_G0282371	91714
ndufab1	DDB_G0291866	91715
rpl8	DDB_G0274113	91096
pitB	DDB_G0274579	91098
DDB_G0274337	DDB_G0274337	91100
DDB_G0274549	DDB_G0274549	91101
DDB_G0274661	DDB_G0274661	91106
rab5A	DDB_G0271984	93331
DDB_G0289539	DDB_G0289539	93333
DDB_G0268646	DDB_G0268646	93334
DDB_G0285167	DDB_G0285167	91736
hspG7	DDB_G0276951	91744
DDB_G0288513	DDB_G0288513	93342
DDB_G0286485	DDB_G0286485	93345
DDB_G0288871	DDB_G0288871	93349
ost1	DDB_G0293224	91755
hbx13	DDB_G0288975	91760
DDB_G0289259	DDB_G0289259	91770
DDB_G0285191	DDB_G0285191	91774
btg	DDB_G0285069	91776
eif5a	DDB_G0284861	91781
DDB_G0278471	DDB_G0278471	91786
DDB_G0295833	DDB_G0295833	91788
DDB_G0291796	DDB_G0291796	91789
rpl18	DDB_G0279997	91791
DDB_G0283313	DDB_G0283313	91792
oatA	DDB_G0287913	93358
pakC	DDB_G0267450	91113
DDB_G0281339	DDB_G0281339	93359
DDB_G0285329	DDB_G0285329	91828
argC	DDB_G0286257	91829
mobB	DDB_G0292758	91839
DDB_G0292248	DDB_G0292248	91843
sigJ	DDB_G0269254	91845
DDB_G0289693	DDB_G0289693	91858
vasP	DDB_G0289541	91862
DDB_G0287369	DDB_G0287369	91872
psmC5	DDB_G0292382	91882
proA	DDB_G0287125	91884
DDB_G0269634	DDB_G0269634	91889
DDB_G0279093	DDB_G0279093	91894
cpiC	DDB_G0277001	91899
DDB_G0284885	DDB_G0284885	91902
DDB_G0290191	DDB_G0290191	91905
mdhA	DDB_G0290207	91907
sigG	DDB_G0290071	91914
DDB_G0287723	DDB_G0287723	97713
DDB_G0278911	DDB_G0278911	96420
repB	DDB_G0278729	96425
DDB_G0278757	DDB_G0278757	96430
DDB_G0278749	DDB_G0278749	96431
DDB_G0279251	DDB_G0279251	96433
DDB_G0289915	DDB_G0289915	96222
DDB_G0274207	DDB_G0274207	96224
DDB_G0278031	DDB_G0278031	97726
DDB_G0274265	DDB_G0274265	96228
lin9	DDB_G0286665	97729
DDB_G0286669	DDB_G0286669	97730
DDB_G0286629	DDB_G0286629	97731
DDB_G0287061	DDB_G0287061	97732
DDB_G0287069	DDB_G0287069	97740
DDB_G0287075	DDB_G0287075	97742
DDB_G0280051	DDB_G0280051	97749
DDB_G0286165	DDB_G0286165	97757
rab1C	DDB_G0269174	97759
dyrk1	DDB_G0277485	97778
DDB_G0291894	DDB_G0291894	97786
DDB_G0278661	DDB_G0278661	97791
DDB_G0285635	DDB_G0285635	97792
DDB_G0275917	DDB_G0275917	97798
DDB_G0293746	DDB_G0293746	97806
DDB_G0293748	DDB_G0293748	97807
DDB_G0293620	DDB_G0293620	97813
DDB_G0270104	DDB_G0270104	97816
syn8A	DDB_G0275429	97819
gol	DDB_G0287271	97820
prp19	DDB_G0276803	96440
DDB_G0292106	DDB_G0292106	96443
DDB_G0292066	DDB_G0292066	96447
xacA	DDB_G0291978	96450
gxcO	DDB_G0293396	97823
DDB_G0281467	DDB_G0281467	97830
DDB_G0279023	DDB_G0279023	97839
DDB_G0280851	DDB_G0280851	97844
DDB_G0278881	DDB_G0278881	97850
nup107	DDB_G0285579	97855
DDB_G0292416	DDB_G0292416	97856
DDB_G0274899	DDB_G0274899	97866
DDB_G0274969	DDB_G0274969	97873
prpf8	DDB_G0274229	97874
DDB_G0283111	DDB_G0283111	97902
DDB_G0284177	DDB_G0284177	96454
DDB_G0269886	DDB_G0269886	97905
atp5O	DDB_G0283283	97908
ripA	DDB_G0284611	96471
DDB_G0276801	DDB_G0276801	97918
tfdp2	DDB_G0276799	97920
DDB_G0288209	DDB_G0288209	97936
atg6B	DDB_G0288021	97940
DDB_G0288059	DDB_G0288059	97941
DDB_G0267834	DDB_G0267834	97944
DDB_G0286045	DDB_G0286045	97945
athl1	DDB_G0287109	97948
DDB_G0282351	DDB_G0282351	97960
med1	DDB_G0282453	97963
DDB_G0293120	DDB_G0293120	97966
DDB_G0290535	DDB_G0290535	97970
abcE1	DDB_G0290483	97974
DDB_G0290653	DDB_G0290653	97975
rblA	DDB_G0290551	97976
DDB_G0270056	DDB_G0270056	97979
DDB_G0267538	DDB_G0267538	97989
DDB_G0287929	DDB_G0287929	97994
DDB_G0288573	DDB_G0288573	97997
DDB_G0287769	DDB_G0287769	97998
gluS	DDB_G0287467	98001
DDB_G0287465	DDB_G0287465	98002
DDB_G0284749	DDB_G0284749	98011
DDB_G0281781	DDB_G0281781	98013
DDB_G0269328	DDB_G0269328	98028
DDB_G0269286	DDB_G0269286	98030
dhak	DDB_G0269274	98031
DDB_G0269970	DDB_G0269970	98036
DDB_G0292148	DDB_G0292148	98039
kctd9	DDB_G0291330	98057
grp94	DDB_G0280057	98061
rpl24	DDB_G0280229	98062
DDB_G0292714	DDB_G0292714	96494
DDB_G0278441	DDB_G0278441	96503
bzpC	DDB_G0279439	96504
DDB_G0278719	DDB_G0278719	96510
DDB_G0279673	DDB_G0279673	98084
DDB_G0268866	DDB_G0268866	98085
DDB_G0270636	DDB_G0270636	98088
DDB_G0269078	DDB_G0269078	98094
DDB_G0280143	DDB_G0280143	98103
DDB_G0275611	DDB_G0275611	98105
DDB_G0281497	DDB_G0281497	98120
Dd5P4	DDB_G0267462	98122
DDB_G0276285	DDB_G0276285	98124
DDB_G0285495	DDB_G0285495	98126
DDB_G0293128	DDB_G0293128	98134
racE	DDB_G0280975	98135
DDB_G0280803	DDB_G0280803	98141
gacGG	DDB_G0280093	98143
DDB_G0292032	DDB_G0292032	98145
ifkB	DDB_G0276829	98147
DDB_G0279557	DDB_G0279557	98148
uprt	DDB_G0267560	98151
DDB_G0279291	DDB_G0279291	96518
pmmA	DDB_G0279289	96520
gacB	DDB_G0278549	96526
DDB_G0278927	DDB_G0278927	96527
DDB_G0285609	DDB_G0285609	96528
DDB_G0275409	DDB_G0275409	98159
DDB_G0275415	DDB_G0275415	98163
DDB_G0270410	DDB_G0270410	98170
eIF4e3	DDB_G0270406	98173
wimA	DDB_G0269198	98175
DDB_G0279459	DDB_G0279459	98183
DDB_G0278707	DDB_G0278707	98184
DDB_G0278407	DDB_G0278407	98186
DDB_G0276461	DDB_G0276461	98203
DDB_G0275683	DDB_G0275683	98205
DDB_G0267722	DDB_G0267722	98222
gacU	DDB_G0272925	98229
DDB_G0290947	DDB_G0290947	98235
manC	DDB_G0268994	98237
DDB_G0290721	DDB_G0290721	98241
DDB_G0283771	DDB_G0283771	98243
plc	DDB_G0292736	96532
DDB_G0283843	DDB_G0283843	98248
gxcZ	DDB_G0293928	96538
DDB_G0274879	DDB_G0274879	98253
plk	DDB_G0274503	98258
DDB_G0287625	DDB_G0287625	98274
sds	DDB_G0272787	98285
DDB_G0272468	DDB_G0272468	98288
ap1g1	DDB_G0281957	98291
rpl13a	DDB_G0275881	98308
DDB_G0275747	DDB_G0275747	98309
DDB_G0275751	DDB_G0275751	98311
DDB_G0280513	DDB_G0280513	98314
DDB_G0270972	DDB_G0270972	98320
DDB_G0269842	DDB_G0269842	98323
usp7	DDB_G0276443	96546
psmC2	DDB_G0276917	96551
pldG	DDB_G0276919	96554
DDB_G0267794	DDB_G0267794	98330
DDB_G0267792	DDB_G0267792	98331
DDB_G0271732	DDB_G0271732	98341
myoE	DDB_G0288679	98367
bzpQ	DDB_G0288705	98369
DDB_G0283253	DDB_G0283253	98373
idhB	DDB_G0293872	98388
DDB_G0293878	DDB_G0293878	98390
myoH	DDB_G0289447	98394
DDB_G0289043	DDB_G0289043	98398
DDB_G0286699	DDB_G0286699	98404
DDB_G0282849	DDB_G0282849	96563
DDB_G0274355	DDB_G0274355	96564
DDB_G0289093	DDB_G0289093	96568
DDB_G0282563	DDB_G0282563	96577
DDB_G0292858	DDB_G0292858	98410
DDB_G0293102	DDB_G0293102	98416
DDB_G0284147	DDB_G0284147	98444
cudA	DDB_G0284465	98447
DDB_G0284097	DDB_G0284097	98454
DDB_G0284099	DDB_G0284099	98455
pspE	DDB_G0286905	98460
DDB_G0286379	DDB_G0286379	98465
DDB_G0286393	DDB_G0286393	98468
odc	DDB_G0281109	98470
pigV	DDB_G0280891	98471
DDB_G0269962	DDB_G0269962	98475
rps3a	DDB_G0277345	98478
scfd2	DDB_G0277343	98479
gltA	DDB_G0276965	98481
DDB_G0277071	DDB_G0277071	98486
clmA	DDB_G0278685	98493
DDB_G0280991	DDB_G0280991	98494
DDB_G0285119	DDB_G0285119	98498
DDB_G0272034	DDB_G0272034	98502
E2F	DDB_G0284129	98517
DDB_G0269032	DDB_G0269032	98522
DDB_G0268914	DDB_G0268914	98523
DDB_G0270868	DDB_G0270868	98524
DDB_G0270686	DDB_G0270686	98531
kcnma1	DDB_G0269896	98532
DDB_G0271088	DDB_G0271088	98533
DDB_G0272937	DDB_G0272937	98535
udkD	DDB_G0271146	98541
DDB_G0277567	DDB_G0277567	96591
cotB	DDB_G0276761	96596
DDB_G0276927	DDB_G0276927	96597
pgs1	DDB_G0277037	96603
rab11C	DDB_G0277101	96604
elmoA	DDB_G0278051	96234
irlC	DDB_G0270894	96238
DDB_G0278635	DDB_G0278635	96244
DDB_G0272680	DDB_G0272680	96246
cnrK	DDB_G0292120	96248
DDB_G0272180	DDB_G0272180	96258
DDB_G0274743	DDB_G0274743	98546
carmil	DDB_G0292386	98559
DDB_G0278601	DDB_G0278601	98580
ndufa12	DDB_G0285783	98581
DDB_G0271806	DDB_G0271806	98586
DDB_G0272220	DDB_G0272220	98592
DDB_G0288873	DDB_G0288873	98599
rpl15-1	DDB_G0272893	98603
sepA	DDB_G0276465	96609
DDB_G0283031	DDB_G0283031	98606
DDB_G0275097	DDB_G0275097	96619
DDB_G0279523	DDB_G0279523	96621
helE	DDB_G0281949	98608
DDB_G0281907	DDB_G0281907	98609
DDB_G0273077	DDB_G0273077	98631
mtr	DDB_G0284699	98639
DDB_G0274613	DDB_G0274613	98641
psiJ	DDB_G0290317	98645
pppA	DDB_G0283601	98650
DDB_G0283667	DDB_G0283667	98651
DDB_G0285559	DDB_G0285559	98658
DDB_G0289019	DDB_G0289019	98666
atxn2	DDB_G0269682	98676
cycD	DDB_G0277439	96629
DDB_G0277541	DDB_G0277541	96631
piaA	DDB_G0277399	96632
DDB_G0285959	DDB_G0285959	96641
rfc1	DDB_G0285961	96642
DDB_G0285989	DDB_G0285989	96644
sdhC	DDB_G0275115	98679
roco8	DDB_G0286127	98684
pdsA	DDB_G0285995	98685
DDB_G0286465	DDB_G0286465	98694
DDB_G0272979	DDB_G0272979	98697
DDB_G0270088	DDB_G0270088	98698
numA	DDB_G0269114	98700
DDB_G0289545	DDB_G0289545	98705
DDB_G0289027	DDB_G0289027	98707
rps16	DDB_G0284093	98715
DDB_G0283861	DDB_G0283861	98718
DDB_G0285411	DDB_G0285411	98733
mcfT	DDB_G0267704	98737
taf1	DDB_G0292242	98741
DDB_G0280025	DDB_G0280025	98743
DDB_G0284135	DDB_G0284135	98748
DDB_G0282167	DDB_G0282167	98753
DDB_G0287699	DDB_G0287699	98757
DDB_G0287697	DDB_G0287697	98758
grlR	DDB_G0287681	98759
DDB_G0287869	DDB_G0287869	98760
psrA	DDB_G0280469	98770
pdeD	DDB_G0274383	98774
kif9	DDB_G0274603	96678
DDB_G0289381	DDB_G0289381	96685
DDB_G0288849	DDB_G0288849	96687
DDB_G0289345	DDB_G0289345	96688
fip1l1	DDB_G0288797	96691
DDB_G0291926	DDB_G0291926	98810
ak1	DDB_G0292150	98812
DDB_G0289457	DDB_G0289457	98818
psmD3	DDB_G0288621	98819
mekA	DDB_G0269152	98833
DDB_G0270322	DDB_G0270322	98834
psmC1	DDB_G0270784	98837
pkgB	DDB_G0290157	98847
DDB_G0275333	DDB_G0275333	98850
DDB_G0278301	DDB_G0278301	98853
cspA	DDB_G0277835	98856
DDB_G0285151	DDB_G0285151	96717
uae1	DDB_G0270272	96719
DDB_G0289397	DDB_G0289397	98866
DDB_G0275707	DDB_G0275707	98870
DDB_G0288645	DDB_G0288645	98874
DDB_G0267904	DDB_G0267904	98877
upf2	DDB_G0281623	98882
DDB_G0291424	DDB_G0291424	98891
DDB_G0286835	DDB_G0286835	98893
DDB_G0282121	DDB_G0282121	98897
crsA	DDB_G0282607	98903
DDB_G0282597	DDB_G0282597	98907
gtaG	DDB_G0270756	96721
DDB_G0268316	DDB_G0268316	98913
med27	DDB_G0271072	96730
ger	DDB_G0270184	96732
DDB_G0270200	DDB_G0270200	96734
DDB_G0271044	DDB_G0271044	96735
DDB_G0270750	DDB_G0270750	96736
DDB_G0270446	DDB_G0270446	96739
DDB_G0270070	DDB_G0270070	96740
denr	DDB_G0279677	96741
orcC	DDB_G0271078	96744
DDB_G0279429	DDB_G0279429	98917
DDB_G0279427	DDB_G0279427	98918
DDB_G0279045	DDB_G0279045	98923
DDB_G0287365	DDB_G0287365	98926
DDB_G0289625	DDB_G0289625	98930
abcG2	DDB_G0275689	98941
DDB_G0275861	DDB_G0275861	98942
DDB_G0289771	DDB_G0289771	98947
DDB_G0280583	DDB_G0280583	98949
mybI	DDB_G0289151	98959
DDB_G0282409	DDB_G0282409	98967
xdh	DDB_G0291047	96745
cprA	DDB_G0290957	96752
pikH	DDB_G0291093	96754
DDB_G0290985	DDB_G0290985	96758
kif11	DDB_G0291039	96759
DDB_G0287103	DDB_G0287103	98969
DDB_G0293800	DDB_G0293800	98971
gacV	DDB_G0293510	98974
DDB_G0267840	DDB_G0267840	98981
DDB_G0292612	DDB_G0292612	98986
DDB_G0291107	DDB_G0291107	98992
grlP	DDB_G0291095	98995
DDB_G0291205	DDB_G0291205	98999
DDB_G0274735	DDB_G0274735	99005
gxcII	DDB_G0278703	99010
